Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.366
7, 1.58, 0.55, 0.00, 0.04, 18.15, 1.995
10, 4.14, 1.06, 0.00, 0.48, 25.72, 0.826
13, 3.14, 0.82, 0.00, 18.86, 33.29, 0.669
16, 3.76, 0.96, 0.00, 24.71, 40.87, 0.581
19, 4.54, 1.10, 0.00, 27.20, 48.44, 0.761
22, 5.64, 1.31, 0.00, 28.47, 56.01, 0.684
25, 6.35, 1.43, 0.00, 30.66, 63.58, 0.597
28, 6.28, 1.35, 0.00, 39.16, 71.15, 0.115
31, 12.52, 3.19, 0.00, 50.33, 78.73, 0.134
34, 7.84, 1.70, 0.00, 69.10, 86.30, -0.203
