Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.123
7, 1.57, 0.56, 0.00, 0.04, 18.15, 1.657
10, 3.34, 1.06, 0.00, 0.04, 25.72, 1.563
13, 5.68, 1.58, 0.00, 1.12, 33.29, 0.574
16, 7.76, 1.89, 0.00, 4.64, 40.87, 0.634
19, 9.00, 1.99, 0.00, 10.47, 48.44, 0.601
22, 9.39, 1.99, 0.00, 16.70, 56.01, 0.720
25, 9.47, 1.97, 0.00, 21.70, 63.58, 0.769
28, 9.82, 1.99, 0.00, 29.45, 71.15, 0.314
31, 14.07, 3.17, 0.00, 43.74, 78.73, 0.184
34, 10.16, 2.04, 0.00, 60.34, 86.30, 0.018
37, 18.20, 4.12, 0.00, 64.04, 93.87, 0.022
