Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.123
7, 1.57, 0.56, 0.00, 0.04, 18.15, 1.657
10, 3.33, 1.06, 0.00, 0.04, 25.72, 0.976
13, 5.83, 1.60, 0.00, 0.50, 33.29, 0.866
16, 8.15, 1.96, 0.00, 3.25, 40.87, 0.878
19, 9.67, 2.11, 0.00, 8.57, 48.44, 0.844
22, 10.00, 2.10, 0.00, 15.24, 56.01, 0.503
25, 9.96, 2.04, 0.00, 20.74, 63.58, 0.509
28, 10.23, 2.05, 0.00, 28.68, 71.15, 0.337
31, 14.35, 3.18, 0.00, 42.97, 78.73, 0.215
34, 10.61, 2.06, 0.00, 58.98, 86.30, 0.036
37, 18.49, 4.19, 0.00, 63.24, 93.87, 0.000
