Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.366
7, 1.58, 0.55, 0.00, 0.04, 18.15, 1.995
10, 4.14, 1.06, 0.00, 0.48, 25.72, 0.826
13, 3.14, 0.82, 0.00, 18.86, 33.29, 0.669
16, 3.45, 0.77, 0.00, 28.91, 40.87, 0.217
19, 4.27, 0.92, 0.00, 30.90, 48.44, 0.245
22, 14.68, 3.70, 0.00, 33.03, 56.01, 0.340
25, 5.93, 1.37, 0.00, 68.20, 63.58, -0.487
28, 32.49, 8.65, 0.00, 50.02, 71.15, 0.025
31, 40.23, 10.17, 0.00, 50.22, 78.73, -0.157
34, 52.26, 10.87, 0.00, 56.61, 86.30, -0.305
37, 55.27, 11.26, 0.00, 72.76, 93.87, -0.462
