Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.42, 0.19, 0.00, 0.00, 10.58, 2.588, 0.2036
7, 1.48, 0.52, 0.00, 0.00, 18.15, 1.298, 0.3967
10, 3.20, 1.00, 0.00, 0.00, 25.72, 1.119, 0.6587
13, 6.01, 1.63, 0.00, 0.00, 33.29, 0.759, 0.7659
16, 9.38, 2.17, 0.00, 0.00, 40.87, 0.443, 0.7697
19, 13.69, 2.74, 0.00, 0.00, 48.44, 0.791, 0.7699
22, 19.07, 3.36, 0.00, 0.00, 56.01, 0.367, 0.1996
25, 24.68, 3.93, 0.00, 0.00, 63.58, 0.088, 0.1996
28, 29.31, 4.33, 0.00, 0.00, 71.15, -0.001, 0.1996
31, 30.83, 4.48, 0.00, 0.00, 78.73, 0.000, 0.1996
34, 29.53, 4.36, 0.00, 0.00, 86.30, -0.004, 0.1996
37, 26.44, 4.05, 0.00, 0.00, 93.87, 0.003, 0.1996
