Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.41, 0.18, 0.00, 0.00, 10.58, 2.415, 0.7708
7, 1.57, 0.49, 0.00, 0.00, 18.15, 1.801, 0.7708
10, 4.07, 0.99, 0.00, 0.00, 25.72, 0.518, 0.6552
13, 3.66, 0.87, 0.00, 14.95, 33.29, 0.723, 0.7666
16, 3.95, 0.83, 0.00, 23.07, 40.87, 0.477, 0.7708
19, 4.71, 0.99, 0.00, 25.07, 48.44, 0.035, 0.7708
22, 5.58, 1.08, 0.00, 27.86, 56.01, 0.242, 0.7708
25, 6.43, 1.16, 0.00, 30.49, 63.58, 0.256, 0.7708
28, 40.96, 3.68, 0.00, 9.11, 71.15, -0.301, 0.7708
31, 29.03, 2.89, 0.00, 32.10, 78.73, -0.427, 0.7708
34, 22.27, 2.41, 0.00, 46.40, 86.30, -0.557, 0.7708
37, 27.37, 4.20, 0.00, 52.80, 93.87, -1.023, 0.7708
