Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.42, 0.19, 0.00, 0.00, 10.58, 2.588, 0.2036
7, 1.34, 0.49, 0.00, 0.00, 18.15, 1.753, 0.3967
10, 2.08, 0.76, 0.00, 0.00, 25.72, 1.017, 0.6587
13, 2.32, 0.93, 0.00, 0.00, 33.29, 1.093, 0.7659
16, 1.80, 0.80, 0.00, 0.00, 40.87, 1.061, 0.7697
19, 1.26, 0.64, 0.00, 0.00, 48.44, 1.051, 0.7699
22, 1.08, 0.57, 0.00, 0.00, 56.01, 0.799, 0.1996
25, 0.90, 0.48, 0.00, 0.00, 63.58, 0.784, 0.1996
28, 0.36, 0.23, 0.00, 0.00, 71.15, 0.751, 0.1996
31, 0.09, 0.06, 0.00, 0.00, 41.47, 1.084, 0.1996
34, 0.01, 0.01, 0.00, 0.00, 20.91, 1.023, 0.1996
37, 0.02, 0.01, 0.00, 0.00, 22.72, 0.745, 0.1996
