Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.42,0.19,0.00,0.00,10.58,2.588,0.1982
7,1.50,0.52,0.00,0.00,18.15,1.817,0.2042
4,0.42,0.19,0.00,0.00,10.58,2.588,0.2036
7,1.50,0.52,0.00,0.00,18.15,1.817,0.3967
10,3.61,1.01,0.00,0.00,25.72,0.997,0.6587
13,3.59,1.00,0.00,14.07,33.29,1.139,0.7659
16,4.01,1.02,0.00,20.91,40.87,0.899,0.7697
19,4.56,1.07,0.00,25.06,48.44,0.564,0.7699
22,5.43,1.21,0.00,27.29,56.01,0.299,0.7697
25,6.25,1.32,0.00,29.33,63.58,0.284,0.7698
28,37.73,4.01,0.00,9.11,71.15,0.002,0.7698
31,27.79,3.15,0.00,32.06,78.73,0.061,0.7698
34,21.37,2.59,0.00,46.40,86.30,-0.189,0.7698
37,26.97,4.41,0.00,52.78,93.87,-0.418,0.7698
