Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.43, 0.19, 0.00, 0.00, 10.58, 2.449, 0.2036
4, 0.43, 0.19, 0.00, 0.00, 10.58, 2.449, 0.2036
7, 1.54, 0.52, 0.00, 0.00, 18.15, 1.872, 0.3967
10, 3.65, 1.02, 0.00, 0.00, 25.72, 1.214, 0.6587
13, 4.46, 1.25, 0.00, 7.25, 33.29, 0.545, 0.7659
16, 6.40, 1.58, 0.00, 9.24, 40.87, 0.850, 0.7697
19, 9.41, 1.99, 0.00, 9.42, 48.44, 0.527, 0.7699
22, 12.31, 2.29, 0.00, 11.44, 56.01, 0.322, 0.7697
25, 15.71, 2.66, 0.00, 12.22, 63.58, 0.388, 0.7698
28, 33.77, 3.94, 0.00, 6.59, 71.15, 0.118, 0.1996
31, 19.39, 3.13, 0.00, 0.00, 78.73, 0.382, 0.1996
34, 23.37, 3.48, 0.00, 0.00, 86.30, 0.159, 0.1996
37, 26.67, 3.70, 0.00, 0.00, 93.87, 0.024, 0.1996
