Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.43,0.19,0.00,0.00,10.58,2.449,0.7708
7,1.54,0.52,0.00,0.00,18.15,1.872,0.7708
10,4.00,1.02,0.00,0.00,25.72,1.397,0.6552
13,3.42,0.92,0.00,14.95,33.29,0.397,0.7666
16,3.81,0.89,0.00,23.07,40.87,0.567,0.7708
19,4.71,1.06,0.00,25.07,48.44,0.657,0.7708
22,5.62,1.17,0.00,27.86,56.01,0.781,0.7708
25,6.43,1.26,0.00,30.49,63.58,0.119,0.7708
28,38.53,3.84,0.00,9.11,71.15,0.033,0.7708
31,28.98,3.04,0.00,32.10,78.73,0.034,0.7708
34,22.26,2.56,0.00,46.40,86.30,0.001,0.7708
37,27.60,4.37,0.00,52.80,93.87,-0.055,0.7708
