Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.51,0.07,0.00,0.00,10.58,1.606,0.2036
7,1.74,0.27,0.00,0.00,18.15,0.922,0.3967
10,3.29,0.64,0.00,0.00,25.72,0.447,0.6587
13,4.02,0.82,0.00,7.25,33.29,0.398,0.7659
16,5.68,1.05,0.00,9.24,40.87,0.119,0.7697
19,8.17,1.39,0.00,9.42,48.44,0.049,0.7699
22,10.45,1.62,0.00,11.44,56.01,0.009,0.7697
25,13.07,1.91,0.00,12.22,63.58,-0.162,0.7698
28,30.11,3.22,0.00,6.59,71.15,-0.721,0.7698
31,25.68,2.84,0.00,21.16,78.73,-0.932,0.7698
34,25.54,2.82,0.00,27.72,86.30,-0.853,0.7698
37,33.63,4.21,0.00,31.04,93.87,-1.789,0.7698
