Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.45,0.14,0.00,0.00,10.58,2.062,0.2044
7,1.58,0.43,0.00,0.00,18.15,1.126,0.3936
10,3.56,0.88,0.00,0.00,25.72,0.931,0.6552
13,4.25,1.08,0.00,7.25,33.29,0.743,0.7666
16,6.01,1.37,0.00,9.24,40.87,0.218,0.7708
16,6.03,1.37,0.00,9.24,40.87,0.484,0.7708
19,8.95,1.74,0.00,9.42,48.44,0.098,0.7708
22,11.55,2.00,0.00,11.44,56.01,0.191,0.7708
25,14.75,2.33,0.00,12.22,63.58,0.193,0.7708
28,18.85,2.66,0.00,15.98,71.15,0.093,0.7708
31,23.04,3.22,0.00,25.14,78.73,0.057,0.7708
34,26.26,3.13,0.00,29.38,86.30,0.023,0.7708
37,34.81,4.66,0.00,31.41,93.87,-0.375,0.7708
