Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy
4,0.43,0.19,0.00,0.00,10.58,2.650,0.20029518072289157
7,1.54,0.52,0.00,0.00,18.15,1.288,0.3923012048192771
10,3.65,1.02,0.00,0.00,25.72,1.295,0.6584638554216867
13,4.47,1.25,0.00,7.25,33.29,1.074,0.7619277108433735
16,6.31,1.58,0.00,9.24,40.87,0.532,0.7661626506024096
19,9.31,1.99,0.00,9.42,48.44,0.942,0.7665421686746988
22,12.13,2.29,0.00,11.44,56.01,0.547,0.7665481927710843
25,15.49,2.66,0.00,12.22,63.58,0.324,0.7665783132530121
28,19.58,3.03,0.00,15.98,71.15,0.187,0.7665843373493976
31,23.99,3.63,0.00,25.14,78.73,0.204,0.7665783132530121
34,26.80,3.58,0.00,29.38,86.30,0.198,0.7665903614457832
37,35.82,5.13,0.00,31.41,93.87,0.007,0.7708
