Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.203
7, 1.61, 0.56, 0.00, 0.04, 18.15, 1.877
10, 3.76, 1.06, 0.00, 0.04, 25.72, 0.847
13, 4.52, 1.30, 0.00, 7.29, 33.29, 0.884
16, 6.40, 1.64, 0.00, 9.28, 40.87, 0.916
19, 8.89, 1.89, 0.00, 12.74, 48.44, 0.461
22, 10.79, 2.01, 0.00, 17.37, 56.01, 0.369
25, 14.29, 2.57, 0.00, 20.19, 63.58, 0.427
28, 15.00, 2.29, 0.00, 41.59, 71.15, 0.147
31, 16.42, 2.42, 0.00, 48.65, 78.73, 0.137
34, 21.95, 3.19, 0.00, 66.98, 86.30, 0.055
37, 32.16, 4.70, 0.00, 83.73, 93.87, 0.003
