Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.203
7, 1.61, 0.56, 0.00, 0.04, 18.15, 1.877
10, 3.76, 1.06, 0.00, 0.04, 25.72, 0.847
13, 4.52, 1.30, 0.00, 7.29, 33.29, 0.884
16, 6.40, 1.64, 0.00, 9.28, 40.87, 0.916
18, 8.15, 1.82, 0.00, 11.62, 45.91, 0.736
20, 9.51, 1.93, 0.00, 14.45, 50.96, 0.466
22, 10.79, 2.01, 0.00, 17.37, 56.01, 0.369
24, 12.49, 2.23, 0.00, 19.30, 61.06, 0.602
26, 17.03, 3.11, 0.00, 21.11, 66.11, 0.228
28, 15.00, 2.29, 0.00, 41.59, 71.15, 0.147
30, 15.90, 2.39, 0.00, 46.86, 76.20, 0.185
