Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.54, 0.06, 0.00, 0.04, 10.58, -0.075, 0.201289156626506
7, 1.86, 0.24, 0.00, 0.04, 18.15, -0.924, 0.4189036144578313
10, 3.81, 0.62, 0.00, 0.04, 25.72, -1.054, 0.6619759036144578
13, 4.15, 0.73, 0.00, 7.29, 33.29, -1.530, 0.7607650602409639
16, 6.08, 0.93, 0.00, 9.28, 40.87, -1.069, 0.7639036144578313
19, 8.26, 1.22, 0.00, 9.46, 48.44, -1.129, 0.7640421686746988
22, 10.99, 1.42, 0.00, 11.48, 56.01, -1.240, 0.764066265060241
25, 13.34, 1.65, 0.00, 12.26, 63.58, -1.394, 0.764078313253012
28, 30.72, 2.79, 0.00, 6.63, 71.15, -2.503, 0.7640843373493976
31, 26.55, 2.43, 0.00, 21.20, 78.73, -2.923, 0.7641024096385542
34, 26.26, 2.37, 0.00, 27.76, 86.30, -2.517, 0.7641024096385542
37, 33.55, 3.66, 0.00, 31.08, 93.87, -2.865, 0.7641024096385542
