Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.123
7, 1.59, 0.56, 0.00, 0.04, 18.15, 1.726
10, 3.85, 1.07, 0.00, 0.04, 25.72, 1.196
13, 3.54, 1.01, 0.00, 14.11, 33.29, 0.724
16, 3.96, 1.06, 0.00, 20.95, 40.87, 1.083
19, 4.62, 1.14, 0.00, 25.10, 48.44, 1.022
22, 5.48, 1.29, 0.00, 27.33, 56.01, 0.753
25, 6.30, 1.43, 0.00, 29.37, 63.58, 0.686
28, 6.74, 1.49, 0.00, 36.49, 71.15, 0.528
31, 12.54, 3.16, 0.00, 49.49, 78.73, 0.204
34, 7.91, 1.72, 0.00, 68.33, 86.30, -0.316
37, 16.65, 3.96, 0.00, 68.90, 93.87, 0.000
