Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy,CycleLatency,TotalLatency
4,0.53,0.05,0.02,0.04,10.58,0.705,0.201289156626506,11,47.245
7,1.82,0.25,0.0,0.04,18.15,0.857,0.4189036144578313,11,45.573
10,3.79,0.61,0.06,0.04,25.72,0.362,0.6619759036144578,11,51.018
13,4.09,0.73,0.06,7.29,33.29,0.249,0.7607650602409639,11,52.261
16,5.91,0.94,0.06,9.28,40.87,0.142,0.7639036144578313,11,53.437999999999995
19,8.35,1.27,0.06,9.46,48.44,0.011,0.7640421686746988,11,54.879
22,11.0,1.46,0.06,11.48,56.01,-0.029,0.764066265060241,11,55.319
25,13.5,1.71,0.06,12.26,63.58,-0.56,0.764078313253012,11,61.160000000000004
28,31.02,2.8,0.06,6.63,71.15,-2.068,0.7640843373493976,11,77.74799999999999
31,26.82,2.42,0.06,21.2,78.73,-2.348,0.7641024096385542,11,80.828
34,26.45,2.36,0.06,27.76,86.3,-2.406,0.7641024096385542,11,81.46600000000001
37,34.86,3.67,0.06,31.08,93.87,-2.895,0.7641024096385542,11,86.845
25, 5.18, 0.31, 0.06, 30.53, 63.58, -1.446, 0.764078313253012
28, 37.86, 2.69, 0.06, 9.19, 71.15, -2.582, 0.7640843373493976
