Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy,CycleLatency,TotalLatency
4,0.53,0.06,0.02,0.04,10.58,0.728,0.2135,11,46.992000000000004
7,1.96,0.24,0.06,0.04,18.15,0.186,0.413,11,52.954
10,3.87,0.61,0.06,0.04,25.72,0.234,0.658,11,52.426
13,4.07,0.73,0.06,7.29,33.29,0.206,0.7715,11,52.733999999999995
16,5.67,0.94,0.06,9.28,40.87,0.031,0.7725,11,54.659000000000006
19,8.74,1.26,0.06,9.46,48.44,0.048,0.771,11,54.472
22,11.0,1.46,0.06,11.48,56.01,-0.159,0.7715,11,56.748999999999995
25,13.49,1.71,0.06,12.26,63.58,-0.752,0.7725,11,63.272
28,17.72,1.96,0.06,16.02,71.15,-1.211,0.773,11,68.321
31,21.84,2.43,0.06,25.18,78.73,-2.309,0.773,11,80.399
34, 24.69, 2.28, 0.06, 29.42, 86.30, -2.641, 0.773
