Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 1.07, 0.38, 0.00, 0.00, 11.29, 0.867, 0.20166386544497256
7, 3.76, 1.26, 0.03, 0.14, 18.71, 0.270, 0.23410984403520504
10, 10.24, 2.84, 0.14, 0.14, 26.12, -0.006, 0.25201356634678523
13, 13.69, 3.90, 0.14, 30.36, 33.53, -0.064, 0.7085946300881331
16, 15.99, 4.56, 0.14, 57.83, 40.94, -0.141, 0.7638961680492051
19, 17.09, 4.82, 0.14, 79.42, 48.35, -0.784, 0.7667997999987952
22, 19.36, 5.36, 0.14, 91.50, 55.76, -0.844, 0.7664865450996693
25, 22.80, 6.36, 0.14, 97.92, 63.18, -1.018, 0.7655467804022916
4, 1.07, 0.38, 0.00, 0.00, 11.29, 0.867
7, 3.76, 1.26, 0.14, 18.71, 0.270
4, 0.76, 0.27, 0.00, 0.00, 10.67, 0.325
7, 2.66, 0.89, 0.14, 17.67, -0.397
10, 7.24, 2.01, 0.13, 0.14, 24.67, -1.595
13, 9.70, 2.77, 0.13, 30.36, 31.67, -1.158
16, 11.31, 3.25, 0.13, 57.83, 38.67, -1.782
4, 0.27, 0.10, 0.00, 0.00, 11.54, 1.565
7, 0.92, 0.30, 0.04, 19.11, 1.162
10, 2.52, 0.71, 0.07, 0.04, 26.68, 0.758
13, 3.20, 0.93, 0.07, 8.89, 34.25, 0.203
16, 3.75, 1.08, 0.07, 16.94, 41.83, 0.139
19, 4.17, 1.15, 0.07, 23.27, 49.40, 0.191
22, 4.68, 1.28, 0.07, 26.81, 56.97, 0.177
25, 5.58, 1.57, 0.07, 28.69, 64.54, 0.119
28, 8.48, 4.80, 0.07, 39.27, 76.20, 0.178
4, 1.06, 0.04, 0.07, 20.96, 45.91, -2.629
4, 1.07, 0.04, 1.5, 20.96, 45.91, -2.867
