Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.48, 0.02, 0.00, 0.00, 11.54, 1.003, 0.1971971971971972
7, 1.50, 0.05, 0.00, 0.00, 19.11, 0.544, 0.28428428428428426
10, 3.55, 0.18, 0.00, 0.00, 26.68, 0.209, 0.6096096096096096
13, 3.03, 0.23, 0.00, 13.89, 34.25, -0.134, 0.7677677677677678
16, 3.30, 0.29, 0.00, 20.92, 41.83, -0.496, 0.7727727727727728
19, 3.84, 0.46, 0.00, 25.11, 48.80, -0.727, 0.7737737737737738
22, 4.45, 0.59, 0.00, 27.30, 54.57, -1.451, 0.7727727727727728
25, 5.13, 0.78, 0.00, 29.33, 60.34, -2.302, 0.7727727727727728
28, 37.93, 1.54, 0.00, 9.11, 66.11, -4.184, 0.7727727727727728
31, 28.38, 1.61, 0.00, 32.06, 79.69, -5.331, 0.7727727727727728
34, 20.84, 1.75, 0.00, 46.40, 77.64, -3.779, 0.7727727727727728
37, 26.08, 2.06, 0.00, 57.85, 83.41, -1.809, 0.7727727727727728
