Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.68, 0.12, 0.00, 0.00, 11.54, 1.328, 0.2012012012012012
7, 1.77, 0.19, 0.00, 0.00, 19.11, 0.484, 0.20520520520520522
10, 3.88, 0.31, 0.00, 0.00, 26.68, 0.068, 0.18218218218218218
13, 3.58, 0.60, 0.00, 13.89, 34.25, 0.266, 0.18218218218218218
16, 3.98, 0.86, 0.00, 20.92, 41.83, 0.063, 0.18218218218218218
19, 4.60, 1.02, 0.00, 25.11, 49.40, -0.015, 0.18218218218218218
22, 5.51, 1.24, 0.00, 27.30, 56.97, -0.264, 0.18218218218218218
25, 6.20, 1.46, 0.00, 29.33, 64.54, -0.368, 0.18218218218218218
28, 6.58, 1.66, 0.00, 39.01, 72.12, -1.291, 0.18218218218218218
31, 30.02, 1.88, 0.00, 32.06, 79.69, -2.041, 0.18218218218218218
