+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][17]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][16]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][19]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][13]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][18]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][12]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][15]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][14]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[34].column_tree/genblk2[1].genblk1[5].tree_reg[5][19]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[34].column_tree/genblk2[1].genblk1[5].tree_reg[5][18]/D|
|                   ap_clk |                   ap_clk |                     denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][9]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][10]/D|
|                   ap_clk |                   ap_clk |                     denselayer3/sum_all/col_trees[4].column_tree/genblk2[2].genblk1[21].tree_reg[21][8]/D|
|                   ap_clk |                   ap_clk |                   denselayer3/sum_all/col_trees[16].column_tree/genblk2[2].genblk1[21].tree_reg[21][25]/D|
|                   ap_clk |                   ap_clk |                   denselayer3/sum_all/col_trees[16].column_tree/genblk2[2].genblk1[21].tree_reg[21][27]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][21]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][25]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][17]/D|
|                   ap_clk |                   ap_clk |                   denselayer3/sum_all/col_trees[16].column_tree/genblk2[2].genblk1[21].tree_reg[21][26]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][27]/D|
|                   ap_clk |                   ap_clk |                   denselayer3/sum_all/col_trees[16].column_tree/genblk2[2].genblk1[21].tree_reg[21][24]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[19].column_tree/genblk2[1].genblk1[4].tree_reg[4][21]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][19]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[35].column_tree/genblk2[1].genblk1[5].tree_reg[5][15]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[35].column_tree/genblk2[1].genblk1[5].tree_reg[5][23]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[19].column_tree/genblk2[1].genblk1[4].tree_reg[4][27]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][26]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[19].column_tree/genblk2[1].genblk1[4].tree_reg[4][23]/D|
|                   ap_clk |                   ap_clk |                   denselayer3/sum_all/col_trees[16].column_tree/genblk2[2].genblk1[21].tree_reg[21][21]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][20]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][18]/D|
|                   ap_clk |                   ap_clk |                    denselayer3/sum_all/col_trees[8].column_tree/genblk2[2].genblk1[16].tree_reg[16][24]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[35].column_tree/genblk2[1].genblk1[5].tree_reg[5][17]/D|
|                   ap_clk |                   ap_clk |                     denselayer1/sum_all/col_trees[35].column_tree/genblk2[1].genblk1[5].tree_reg[5][14]/D|
