Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing
4, 0.45, 0.21, 0.00, 0.04, 10.58, 2.123
7, 1.57, 0.56, 0.00, 0.04, 18.15, 1.633
10, 3.41, 1.06, 0.00, 0.04, 25.72, 0.997
13, 4.86, 1.41, 0.00, 4.78, 33.29, 0.751
16, 5.67, 1.52, 0.00, 11.56, 40.87, 1.064
19, 6.05, 1.51, 0.00, 18.51, 48.44, 1.022
22, 6.52, 1.53, 0.00, 23.27, 56.01, 0.792
25, 7.20, 1.62, 0.00, 26.20, 63.58, 0.791
28, 7.86, 1.71, 0.00, 33.07, 71.15, 0.272
31, 13.02, 3.16, 0.00, 46.68, 78.73, 0.189
34, 8.52, 1.79, 0.00, 65.26, 86.30, 0.011
37, 16.94, 4.00, 0.00, 67.52, 93.87, 0.002

