Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
# Sweep from before implementing everything in magic multiplication
4, 1.80, 0.85, 0.00, 0.14, 10.35, 0.793, 0.19992168674698796
7, 6.33, 2.25, 0.00, 0.14, 17.76, 0.458, 0.42003614457831323
10, 13.47, 4.22, 0.00, 0.14, 25.18, 0.259, 0.6648012048192771
13, 21.60, 6.03, 0.00, 10.11, 32.59, 0.235, 0.7615602409638554
16, 27.46, 6.86, 0.00, 27.78, 40.00, 0.037, 0.7650722891566265
19, 29.89, 6.93, 0.00, 50.19, 47.41, 0.183, 0.7652831325301205
22, 33.90, 7.06, 0.00, 68.03, 54.82, 0.094, 0.7653313253012048
25, 36.10, 7.21, 0.00, 81.31, 62.24, 0.193, 0.7653313253012048

# Sweep with only magic module

4, 1.80, 0.85, 0.00, 0.14, 10.35, 0.793
7, 6.33, 2.25, 0.00, 0.14, 17.76, 0.400
10, 13.41, 4.22, 0.00, 0.14, 25.18, 0.320
13, 21.57, 6.03, 0.00, 10.11, 32.59, 0.145
16, 27.45, 6.86, 0.00, 27.78, 40.00, 0.203
19, 29.89, 6.93, 0.00, 50.19, 47.41, 0.183
22, 33.90, 7.06, 0.00, 68.03, 54.82, 0.094
25, 36.10, 7.21, 0.00, 81.31, 62.24, 0.193

# Sweep with only normal multiplication

4, 1.80, 0.85, 0.00, 0.14, 10.35, 0.793
7, 6.33, 2.25, 0.00, 0.14, 17.76, 0.458
10, 13.47, 4.22, 0.00, 0.14, 25.18, 0.259
13, 21.60, 6.03, 0.00, 10.11, 32.59, 0.235
16, 27.46, 6.86, 0.00, 27.78, 40.00, 0.037
19, 29.94, 6.94, 0.00, 50.19, 47.41, 0.075
22, 33.95, 7.06, 0.00, 68.03, 54.82, 0.038
25, 36.19, 7.20, 0.00, 81.31, 62.24, -0.148
