Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.05, 0.03, 0.00, 0.00, 5.53, 2.900, -1
5, 0.10, 0.04, 0.00, 0.00, 6.85, 2.415, -1
6, 0.12, 0.06, 0.00, 0.00, 8.17, 2.682, -1
7, 0.18, 0.08, 0.00, 0.00, 9.50, 2.512, -1
8, 0.21, 0.09, 0.00, 0.00, 10.82, 2.085, -1
9, 0.33, 0.12, 0.00, 0.00, 12.14, 2.311, -1
10, 0.36, 0.14, 0.00, 0.00, 13.46, 2.295, -1
11, 0.31, 0.12, 0.00, 0.95, 14.78, 1.173, -1
12, 0.33, 0.14, 0.00, 0.95, 16.11, 0.892, -1
13, 0.34, 0.14, 0.00, 1.43, 17.43, 1.102, -1
14, 0.37, 0.15, 0.00, 1.43, 18.75, 1.135, -1
15, 0.37, 0.15, 0.00, 1.88, 20.07, 0.873, -1
16, 0.39, 0.16, 0.00, 1.88, 21.39, 0.962, -1
17, 0.39, 0.15, 0.00, 2.20, 22.72, 0.898, -1
18, 0.41, 0.16, 0.00, 2.20, 24.04, 0.822, -1
19, 0.40, 0.16, 0.02, 2.47, 25.36, 0.864, -1
20, 0.42, 0.16, 0.02, 2.47, 26.68, 0.912, -1
21, 0.43, 0.17, 0.00, 2.60, 28.00, 0.799, -1
22, 0.45, 0.17, 0.00, 2.60, 29.33, 0.754, -1
23, 0.45, 0.17, 0.00, 2.71, 30.65, 0.763, -1
24, 0.47, 0.18, 0.00, 2.71, 31.97, 0.858, -1
25, 0.48, 0.19, 0.00, 2.78, 33.29, 0.789, -1
26, 0.50, 0.19, 0.00, 2.78, 34.62, 0.844, -1
27, 0.51, 0.20, 0.00, 2.83, 35.94, 0.614, -1
28, 0.53, 0.20, 0.00, 2.83, 37.26, 0.460, -1
29, 1.13, 0.36, 0.00, 2.85, 38.58, 0.293, -1
30, 1.37, 0.39, 0.00, 2.85, 39.90, 0.291, -1
31, 1.52, 0.54, 0.00, 2.85, 41.23, 0.379, -1
