Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.00, 0.00, 0.00, 0.00, 0.48, None, -1
5, 0.00, 0.00, 0.00, 0.00, 0.60, None, -1
6, 0.00, 0.00, 0.00, 0.00, 0.72, None, -1
7, 0.32, 0.11, 0.00, 0.00, 9.50, 2.087, -1
8, 0.38, 0.13, 0.00, 0.00, 10.82, 1.904, -1
9, 0.55, 0.15, 0.00, 0.00, 12.14, 0.906, -1
10, 0.62, 0.17, 0.00, 0.00, 13.46, 0.964, -1
11, 0.28, 0.11, 0.00, 1.77, 14.78, 1.996, -1
12, 0.30, 0.12, 0.00, 1.77, 16.11, 1.980, -1
13, 0.33, 0.12, 0.00, 1.81, 17.43, 2.122, -1
14, 0.35, 0.13, 0.00, 1.81, 18.75, 1.720, -1
15, 0.36, 0.13, 0.00, 1.88, 20.07, 1.983, -1
16, 0.39, 0.14, 0.00, 1.88, 21.39, 2.300, -1
17, 0.41, 0.15, 0.00, 1.89, 22.72, 2.067, -1
18, 0.44, 0.16, 0.00, 1.89, 24.04, 1.667, -1
19, 0.46, 0.18, 0.02, 1.89, 25.36, 0.871, -1
20, 0.48, 0.19, 0.02, 1.89, 26.68, 0.886, -1
21, 0.51, 0.20, 0.00, 1.89, 28.00, 0.849, -1
22, 0.53, 0.21, 0.00, 1.89, 29.33, 0.917, -1
23, 0.55, 0.22, 0.00, 1.89, 30.65, 0.943, -1
24, 0.57, 0.23, 0.00, 1.89, 31.97, 0.890, -1
25, 0.59, 0.23, 0.00, 1.90, 33.29, 0.840, -1
26, 0.62, 0.24, 0.00, 1.90, 34.62, 0.822, -1
27, 0.63, 0.25, 0.00, 1.90, 35.94, 0.795, -1
28, 0.64, 0.26, 0.00, 1.94, 37.26, 0.862, -1
29, 0.94, 0.34, 0.00, 1.90, 38.58, 0.409, -1
30, 1.07, 0.36, 0.00, 1.90, 39.90, 0.318, -1
31, 1.14, 0.45, 0.00, 1.90, 41.23, 0.457, -1
