Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.05, 0.03, 0.00, 0.00, 5.53, 2.900, -1
5, 0.10, 0.04, 0.00, 0.00, 6.85, 2.459, -1
6, 0.12, 0.06, 0.00, 0.00, 8.17, 2.901, -1
7, 0.18, 0.08, 0.00, 0.00, 9.50, 2.418, -1
8, 0.21, 0.09, 0.00, 0.00, 10.82, 2.292, -1
9, 0.31, 0.12, 0.00, 0.00, 12.14, 1.861, -1
10, 0.27, 0.11, 0.00, 0.50, 13.46, 1.852, -1
11, 0.29, 0.12, 0.00, 1.07, 14.78, 1.080, -1
12, 0.31, 0.13, 0.00, 1.07, 16.11, 0.961, -1
13, 0.33, 0.14, 0.00, 1.49, 17.43, 0.989, -1
14, 0.36, 0.15, 0.00, 1.49, 18.75, 1.000, -1
15, 0.36, 0.14, 0.00, 1.92, 20.07, 0.987, -1
16, 0.38, 0.15, 0.00, 1.92, 21.39, 1.012, -1
17, 0.38, 0.15, 0.00, 2.21, 22.72, 0.906, -1
18, 0.40, 0.16, 0.00, 2.21, 24.04, 0.879, -1
19, 0.39, 0.15, 0.02, 2.48, 25.36, 0.824, -1
20, 0.41, 0.16, 0.02, 2.48, 26.68, 0.817, -1
21, 0.42, 0.16, 0.00, 2.62, 28.00, 0.810, -1
22, 0.44, 0.17, 0.00, 2.62, 29.33, 0.787, -1
23, 0.45, 0.17, 0.00, 2.71, 30.65, 0.831, -1
24, 0.47, 0.18, 0.00, 2.71, 31.97, 0.877, -1
25, 0.48, 0.19, 0.00, 2.78, 33.29, 0.691, -1
26, 0.50, 0.19, 0.00, 2.78, 34.62, 0.751, -1
27, 0.51, 0.20, 0.00, 2.83, 35.94, 0.679, -1
28, 0.85, 0.30, 0.00, 2.83, 37.26, 0.455, -1
29, 1.12, 0.36, 0.00, 2.85, 38.58, 0.414, -1
30, 0.56, 0.33, 0.00, 5.70, 39.90, 0.094, -1
31, 0.58, 0.23, 0.00, 5.70, 41.23, 0.060, -1
