Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.08, 0.06, 0.00, 0.00, 5.53, 2.887, -1
5, 0.13, 0.08, 0.00, 0.00, 6.85, 2.516, -1
6, 0.21, 0.09, 0.00, 0.00, 8.17, 2.337, -1
7, 0.33, 0.11, 0.00, 0.00, 9.50, 1.686, -1
8, 0.43, 0.13, 0.00, 0.00, 10.82, 1.157, -1
9, 0.53, 0.15, 0.00, 0.00, 12.14, 1.194, -1
10, 0.25, 0.10, 0.00, 1.79, 13.46, 1.062, -1
11, 0.28, 0.11, 0.00, 1.81, 14.78, 1.022, -1
12, 0.30, 0.12, 0.00, 1.81, 16.11, 1.091, -1
13, 0.32, 0.13, 0.00, 1.85, 17.43, 0.958, -1
14, 0.34, 0.14, 0.00, 1.85, 18.75, 1.028, -1
15, 0.36, 0.14, 0.00, 1.92, 20.07, 0.987, -1
16, 0.38, 0.15, 0.00, 1.92, 21.39, 1.012, -1
17, 0.40, 0.16, 0.00, 1.93, 22.72, 0.931, -1
18, 0.43, 0.17, 0.00, 1.93, 24.04, 0.798, -1
19, 0.44, 0.18, 0.02, 1.93, 25.36, 0.861, -1
20, 0.46, 0.19, 0.02, 1.93, 26.68, 0.923, -1
21, 0.48, 0.19, 0.00, 1.93, 28.00, 0.938, -1
22, 0.51, 0.20, 0.00, 1.93, 29.33, 0.898, -1
23, 0.52, 0.21, 0.00, 1.93, 30.65, 0.907, -1
24, 0.55, 0.22, 0.00, 1.93, 31.97, 0.938, -1
25, 0.56, 0.23, 0.00, 1.94, 33.29, 0.872, -1
26, 0.58, 0.24, 0.00, 1.94, 34.62, 0.693, -1
27, 0.59, 0.24, 0.00, 1.94, 35.94, 0.544, -1
28, 0.76, 0.29, 0.00, 1.94, 37.26, 0.531, -1
29, 0.89, 0.33, 0.00, 1.94, 38.58, 0.375, -1
30, 0.83, 0.39, 0.00, 2.82, 39.90, 0.267, -1
31, 0.66, 0.28, 0.00, 3.89, 41.23, 0.136, -1
