Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.08, 0.04, 0.00, 0.00, 5.53, 2.857, -1
5, 0.16, 0.07, 0.00, 0.00, 6.85, 2.487, -1
6, 0.21, 0.09, 0.00, 0.00, 8.17, 2.258, -1
7, 0.32, 0.11, 0.00, 0.00, 9.50, 2.087, -1
8, 0.38, 0.13, 0.00, 0.00, 10.82, 1.904, -1
9, 0.55, 0.15, 0.00, 0.00, 12.14, 0.906, -1
10, 0.62, 0.17, 0.00, 0.00, 13.46, 0.964, -1
11, 0.28, 0.11, 0.00, 1.77, 14.78, 1.996, -1
12, 0.30, 0.12, 0.00, 1.77, 16.11, 1.980, -1
13, 0.33, 0.12, 0.00, 1.81, 17.43, 2.122, -1
14, 0.35, 0.13, 0.00, 1.81, 18.75, 1.720, -1
15, 0.36, 0.13, 0.00, 1.88, 20.07, 1.983, -1
16, 0.39, 0.14, 0.00, 1.88, 21.39, 2.300, -1
17, 0.41, 0.15, 0.00, 1.89, 22.72, 2.067, -1
18, 0.44, 0.16, 0.00, 1.89, 24.04, 1.667, -1
19, 0.45, 0.17, 0.02, 1.89, 25.36, 1.298, -1
20, 0.48, 0.17, 0.02, 1.89, 26.68, 1.759, -1
21, 0.50, 0.18, 0.00, 1.89, 28.00, 1.812, -1
22, 0.53, 0.19, 0.00, 1.89, 29.33, 1.619, -1
23, 0.55, 0.20, 0.00, 1.89, 30.65, 2.086, -1
24, 0.58, 0.21, 0.00, 1.89, 31.97, 1.872, -1
25, 0.59, 0.21, 0.00, 1.90, 33.29, 1.589, -1
26, 0.62, 0.22, 0.00, 1.90, 34.62, 1.794, -1
27, 0.63, 0.23, 0.00, 1.90, 35.94, 1.415, -1
28, 2.05, 0.42, 0.00, 0.00, 37.26, 0.365, -1
29, 2.15, 0.42, 0.00, 0.00, 38.58, 0.319, -1
30, 2.23, 0.44, 0.00, 0.00, 39.90, 0.476, -1
31, 2.33, 0.45, 0.00, 0.00, 41.23, 0.340, -1
