test,keras_vs_hls,keras_vs_stream,keras_vs_single,hls_vs_stream,hls_vs_single
populated0,0.0955078125,0.0498046875,0.0498046875,0.09375,0.09375
populated1,0.1017578125,0.0708984375,0.018359375,0.075,0.11875
populated2,0.09248046875,0.07685546875,0.04208984375,0.15,0.09375
populated3,0.14052734375,0.07822265625,0.02705078125,0.13125,0.1625
populated4,0.086328125,0.063671875,0.026171875,0.05625,0.075
populated5,0.11005859375,0.11748046875,0.02998046875,0.01875,0.11875
populated6,0.10810546875,0.05556640625,0.04306640625,0.075,0.1125
populated7,0.1345703125,0.0798828125,0.0482421875,0.125,0.14375
populated8,0.05078125,0.0169921875,0.0212890625,0.05625,0.0625
populated9,0.128515625,0.1115234375,0.02421875,0.1,0.1375
populated10,0.11015625,0.056640625,0.05234375,0.1,0.1125
populated11,0.11513671875,0.09033203125,0.01611328125,0.09375,0.13125
populated12,0.114453125,0.071875,0.0533203125,0.09375,0.1
populated13,0.12060546875,0.06650390625,0.02080078125,0.09375,0.1375
populated14,0.08291015625,0.07548828125,0.01923828125,0.01875,0.075
