test,keras_vs_stream_mean,keras_vs_single_mean
populated0,0.0498046875,0.0498046875
populated1,0.0708984375,0.018359375
populated2,0.07685546875,0.04208984375
populated3,0.07822265625,0.02705078125
populated4,0.063671875,0.026171875
populated5,0.11748046875,0.02998046875
populated6,0.05556640625,0.04306640625
populated7,0.0798828125,0.0482421875
populated8,0.0169921875,0.0212890625
populated9,0.1115234375,0.02421875
populated10,0.056640625,0.05234375
populated11,0.09033203125,0.01611328125
populated12,0.071875,0.0533203125
populated13,0.06650390625,0.02080078125
populated14,0.07548828125,0.01923828125
