test,layer,n,keras_vs_hls_mean,keras_vs_hls_max,keras_vs_rtl_mean,keras_vs_rtl_max,hls_vs_rtl_mean,hls_vs_rtl_max
populated0,conv0,12684,0.00022173604541154211,0.03125,0.0008413651056449069,0.09375,0.0006196290602333649,0.078125
populated0,pool0,726,0.0003013085399449036,0.03125,0.001528064738292011,0.09375,0.0012267561983471075,0.078125
populated0,conv1,648,0.030237268518518517,0.640625,0.013551311728395061,0.359375,0.0390625,1.0
populated0,pool1,128,0.0596923828125,0.640625,0.0272216796875,0.359375,0.08349609375,1.0
populated0,conv2,40,0.08984375,0.6875,0.02578125,0.28125,0.115625,0.71875
populated0,pool2,10,0.10625,0.640625,0.034375,0.265625,0.140625,0.71875
populated0,dense0,15,0.2734375,0.69580078125,0.11783854166666667,0.33447265625,0.35625,0.875
populated0,relu0,15,0.08333333333333333,0.703125,0.03333333333333333,0.203125,0.11666666666666667,0.75
populated0,dense1,10,0.20966796875,0.4208984375,0.11513671875,0.21240234375,0.271875,0.59375
populated0,relu1,10,0.0828125,0.3125,0.0046875,0.015625,0.08125,0.3125
populated0,final,5,0.0955078125,0.17578125,0.0498046875,0.05908203125,0.09375,0.125
populated1,conv0,12684,0.00020202617470829393,0.03125,0.0007773080258593504,0.09375,0.0005752818511510564,0.078125
populated1,pool0,726,0.0005165289256198347,0.03125,0.0015926308539944904,0.09375,0.0010761019283746557,0.078125
populated1,conv1,648,0.027633101851851853,0.640625,0.012393904320987654,0.328125,0.03428819444444445,0.96875
populated1,pool1,128,0.0538330078125,0.640625,0.0240478515625,0.328125,0.070556640625,0.96875
populated1,conv2,40,0.0828125,0.65625,0.03046875,0.28125,0.11328125,0.71875
populated1,pool2,10,0.08125,0.4375,0.05,0.28125,0.13125,0.71875
populated1,dense0,15,0.26979166666666665,0.54296875,0.1796875,0.36328125,0.4479166666666667,0.875
populated1,relu0,15,0.08229166666666667,0.546875,0.046875,0.328125,0.12708333333333333,0.875
populated1,dense1,10,0.155859375,0.35302734375,0.14033203125,0.32666015625,0.29375,0.65625
populated1,relu1,10,0.053125,0.359375,0.015625,0.078125,0.06875,0.4375
populated1,final,5,0.1017578125,0.17236328125,0.018359375,0.04150390625,0.11875,0.1875
populated2,conv0,12684,0.00023898218227688426,0.03125,0.0009583924629454431,0.09375,0.0007194102806685588,0.078125
populated2,pool0,726,0.0004734848484848485,0.03125,0.0017432851239669422,0.078125,0.0012698002754820937,0.0625
populated2,conv1,648,0.031081211419753087,0.71875,0.01232156635802469,0.40625,0.037856867283950615,1.125
populated2,pool1,128,0.0626220703125,0.71875,0.0264892578125,0.40625,0.082763671875,1.125
populated2,conv2,40,0.09375,0.6875,0.03125,0.28125,0.125,0.8125
populated2,pool2,10,0.084375,0.53125,0.040625,0.28125,0.125,0.8125
populated2,dense0,15,0.247265625,0.6298828125,0.12903645833333333,0.3701171875,0.36666666666666664,1.0
populated2,relu0,15,0.07708333333333334,0.3125,0.0375,0.203125,0.11458333333333333,0.46875
populated2,dense1,10,0.1693359375,0.34814453125,0.11513671875,0.22412109375,0.259375,0.5625
populated2,relu1,10,0.059375,0.28125,0.025,0.109375,0.078125,0.28125
populated2,final,5,0.09248046875,0.20361328125,0.04208984375,0.0556640625,0.09375,0.15625
