test,layer,n,keras_vs_hls_mean,keras_vs_rtl_mean,hls_vs_rtl_mean
populated0,conv0,12684,0.00022173604541154211,0.0008413651056449069,0.0006196290602333649
populated0,pool0,726,0.0003013085399449036,0.001528064738292011,0.0012267561983471075
populated0,conv1,648,0.030237268518518517,0.013551311728395061,0.0390625
populated0,pool1,128,0.0596923828125,0.0272216796875,0.08349609375
populated0,conv2,40,0.08984375,0.02578125,0.115625
populated0,pool2,10,0.10625,0.034375,0.140625
populated0,dense0,15,0.2734375,0.11783854166666667,0.35625
populated0,relu0,15,0.08333333333333333,0.03333333333333333,0.11666666666666667
populated0,dense1,10,0.20966796875,0.11513671875,0.271875
populated0,relu1,10,0.0828125,0.0046875,0.08125
populated0,final,5,0.0955078125,0.0498046875,0.09375
populated1,conv0,12684,0.00020202617470829393,0.0007773080258593504,0.0005752818511510564
populated1,pool0,726,0.0005165289256198347,0.0015926308539944904,0.0010761019283746557
populated1,conv1,648,0.027633101851851853,0.012393904320987654,0.03428819444444445
populated1,pool1,128,0.0538330078125,0.0240478515625,0.070556640625
populated1,conv2,40,0.0828125,0.03046875,0.11328125
populated1,pool2,10,0.08125,0.05,0.13125
populated1,dense0,15,0.26979166666666665,0.1796875,0.4479166666666667
populated1,relu0,15,0.08229166666666667,0.046875,0.12708333333333333
populated1,dense1,10,0.155859375,0.14033203125,0.29375
populated1,relu1,10,0.053125,0.015625,0.06875
populated1,final,5,0.1017578125,0.018359375,0.11875
populated2,conv0,12684,0.00023898218227688426,0.0009583924629454431,0.0007194102806685588
populated2,pool0,726,0.0004734848484848485,0.0017432851239669422,0.0012698002754820937
populated2,conv1,648,0.031081211419753087,0.01232156635802469,0.037856867283950615
populated2,pool1,128,0.0626220703125,0.0264892578125,0.082763671875
populated2,conv2,40,0.09375,0.03125,0.125
populated2,pool2,10,0.084375,0.040625,0.125
populated2,dense0,15,0.247265625,0.12903645833333333,0.36666666666666664
populated2,relu0,15,0.07708333333333334,0.0375,0.11458333333333333
populated2,dense1,10,0.1693359375,0.11513671875,0.259375
populated2,relu1,10,0.059375,0.025,0.078125
populated2,final,5,0.09248046875,0.04208984375,0.09375
populated3,conv0,12684,0.00040774795017344684,0.001602658861557868,0.0011949109113844213
populated3,pool0,726,0.0007317493112947659,0.0027117768595041323,0.0019800275482093664
populated3,conv1,648,0.04586226851851852,0.017554012345679014,0.05777391975308642
populated3,pool1,128,0.087646484375,0.034912109375,0.11669921875
populated3,conv2,40,0.116796875,0.049609375,0.16640625
populated3,pool2,10,0.1078125,0.0640625,0.171875
populated3,dense0,15,0.4329427083333333,0.250390625,0.6833333333333333
populated3,relu0,15,0.128125,0.06770833333333333,0.19583333333333333
populated3,dense1,10,0.26259765625,0.1908203125,0.434375
populated3,relu1,10,0.0890625,0.0234375,0.1
populated3,final,5,0.14052734375,0.02705078125,0.1625
populated4,conv0,12684,0.0001983305739514349,0.0007957860296436455,0.0005974554556922106
populated4,pool0,726,0.0002797865013774105,0.001506542699724518,0.0012267561983471075
populated4,conv1,648,0.02879050925925926,0.012586805555555556,0.03616898148148148
populated4,pool1,128,0.0584716796875,0.0267333984375,0.078125
populated4,conv2,40,0.076953125,0.025390625,0.1015625
populated4,pool2,10,0.053125,0.025,0.075
populated4,dense0,15,0.23111979166666666,0.1146484375,0.33541666666666664
populated4,relu0,15,0.059375,0.023958333333333335,0.07708333333333334
populated4,dense1,10,0.1326171875,0.094140625,0.2
populated4,relu1,10,0.05,0.00625,0.04375
populated4,final,5,0.086328125,0.026171875,0.075
populated5,conv0,12684,0.0002845612582781457,0.001165346105329549,0.0008807848470514033
populated5,pool0,726,0.00038739669421487604,0.001893939393939394,0.001506542699724518
populated5,conv1,648,0.03698881172839506,0.014998070987654322,0.046489197530864196
