Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy, II, Total II, Cycle Latency, Total Latency
4, 0.35, 0.07, 0.58, 0.33, 4.09, 5.592, 0.5, 79, 441.768, 82, 458.544
4, 0.35, 0.07, 0.58, 0.33, 4.09, 5.592, 0.5, 79, 441.768, 82, 458.544
7, 1.21, 0.13, 0.58, 0.33, 6.61, 7.05, 0.4943859649122807, 79, 556.9499999999999, 84, 592.1999999999999
10, 2.97, 0.29, 0.58, 0.33, 9.13, 6.948, 0.4926817042606516, 139, 965.772, 145, 1007.46
13, 2.30, 0.25, 0.60, 13.53, 11.66, 9.665, 0.5405513784461153, 139, 1343.435, 145, 1401.425
16, 2.42, 0.35, 0.58, 18.93, 14.18, 9.794, 0.8065162907268171, 139, 1361.366, 145, 1420.13
19, 2.74, 0.53, 0.58, 21.50, 16.71, 9.193, 0.8524812030075188, 139, 1277.827, 146, 1342.1779999999999
22, 3.11, 0.62, 0.58, 22.79, 19.23, 9.729, 0.857593984962406, 159, 1546.9109999999998, 166, 1615.014
25, 3.38, 0.74, 0.58, 24.01, 21.75, 9.078, 0.8582456140350877, 139, 1261.8419999999999, 146, 1325.388
28, 29.86, 1.47, 0.58, 10.48, 24.28, 9.889, 0.8584962406015038, 159, 1572.3509999999999, 166, 1641.5739999999998
31, 15.88, 1.55, 0.58, 32.63, 26.80, 9.826, 0.8583959899749374, 199, 1955.374, 206, 2024.1560000000002
34, 9.62, 1.61, 0.58, 42.76, 29.33, 9.882, 0.8581954887218045, 199, 1966.518, 206, 2035.692
37, 14.47, 1.87, 0.58, 46.08, 31.85, 9.875, 0.8581954887218045, 199, 1965.125, 206, 2034.25
