Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.44, 0.12, 0.58, 0.00, 3.97, 3.854, 0.506240288707333
7, 1.55, 0.34, 0.58, 0.00, 6.49, 4.781, 0.5840308756453311
10, 3.26, 0.72, 0.58, 0.24, 9.01, 6.365, 0.49591499172973785
13, 3.35, 0.83, 0.58, 7.28, 11.54, 9.079, 0.62197383589795
16, 4.69, 1.03, 0.60, 9.19, 14.06, 9.144, 0.8182046012731191
25, 10.05, 1.60, 0.58, 11.93, 21.63, 9.398, 0.8586035787679815
28, 24.55, 2.66, 0.61, 8.30, 24.16, 9.572, 0.8593554207809132
31, 18.26, 2.12, 0.58, 22.59, 26.68, 9.762, 0.8591549295774648
34, 17.69, 2.09, 0.58, 26.94, 29.21, 9.889, 0.8593052979800512
37, 23.04, 3.30, 0.58, 29.74, 31.73, 9.958, 0.8595057891834996
