Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.40, 0.11, 0.02, 0.00, 4.09, 5.765, 0.5110220440881763
7, 1.40, 0.29, 0.02, 0.00, 6.61, 5.116, 0.5110220440881763
10, 3.01, 0.64, 0.02, 0.00, 9.13, 3.925, 0.5110220440881763
13, 4.37, 0.98, 0.02, 5.59, 11.66, 3.337, 0.8016032064128257
16, 6.27, 1.33, 0.02, 8.14, 14.18, 1.400, 0.8396793587174348
19, 9.19, 1.69, 0.02, 8.37, 16.71, 1.900, 0.8356713426853707
22, 11.37, 1.92, 0.02, 10.78, 19.23, 1.641, 0.8336673346693386
25, 13.77, 2.10, 0.02, 12.08, 21.75, 0.688, 0.8396793587174348
28, 16.46, 2.36, 0.95, 14.42, 24.28, 0.937, 0.8396793587174348
31, 21.30, 2.92, 0.02, 23.85, 26.80, 0.597, 0.8396793587174348
34, 22.48, 2.63, 0.02, 29.96, 29.33, 0.649, 0.8396793587174348
37, 29.74, 4.04, 0.02, 32.63, 31.85, 0.450, 0.8396793587174348
