Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.40, 0.11, 0.00, 0.00, 4.09, 5.752, 0.5034586466165414
7, 1.38, 0.29, 0.00, 0.00, 6.61, 4.348, 0.5034586466165414
10, 2.97, 0.64, 0.00, 0.00, 9.13, 4.917, 0.5037092731829574
13, 4.38, 0.98, 0.00, 5.59, 11.66, 3.138, 0.8203508771929825
16, 6.28, 1.33, 0.00, 8.14, 14.18, 2.337, 0.8508270676691729
19, 9.20, 1.69, 0.00, 8.37, 16.71, 1.065, 0.8508270676691729
22, 11.38, 1.92, 0.00, 10.78, 19.23, 1.745, 0.8508270676691729
25, 13.76, 2.10, 0.00, 12.08, 21.75, 0.282, 0.8510275689223058
28, 32.27, 3.52, 0.95, 3.16, 24.28, 0.849, 0.8506265664160401
31, 27.23, 2.93, 0.00, 19.14, 26.80, 0.462, 0.8505263157894737
34, 24.46, 2.74, 0.00, 27.91, 29.33, 0.188, 0.8502756892230576
37, 29.89, 3.96, 0.00, 32.36, 31.85, 0.341, 0.850375939849624
