Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy,CycleLatency,TotalLatency
4,0.38,0.09,0.76,0.33,14.18,5.113,0.5269086357947435,-1,-1
7,1.13,0.14,0.76,0.33,4.09,3.856,0.5269086357947435,-1,-1
10,2.65,0.25,0.76,0.33,6.61,2.822,0.5269086357947435,-1,-1
13,2.82,0.30,0.76,11.69,9.13,0.687,0.7559449311639549,-1,-1
16,3.10,0.40,0.76,20.26,11.66,0.744,0.83729662077597,-1,-1
19,3.29,0.57,0.76,25.07,14.18,0.446,0.8397997496871089,-1,-1
22,3.69,0.67,0.76,27.05,16.71,0.288,0.8423028785982478,-1,-1
25,3.96,0.88,0.76,28.39,19.23,0.257,0.8410513141426783,-1,-1
28,39.73,1.65,0.76,3.81,21.75,-1.129,0.8423028785982478,-1,-1
31,25.68,1.80,0.76,29.59,24.28,0.169,0.8385481852315394,-1,-1
34,13.19,1.89,0.76,48.24,26.80,0.051,0.8410513141426783,-1,-1
