Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy, II, Total II, Cycle Latency, Total Latency
4, 0.37, 0.09, 0.76, 0.33, 29.33, 4.7736, 0.5034586466165414, 119, 621.894, 119, 621.894
7, 1.13, 0.14, 0.76, 0.33, 4.09, 3.856, 0.5034586466165414, 119, 731.136, 119, 731.136
10, 2.65, 0.25, 0.76, 0.33, 6.61, 2.822, 0.5034586466165414, 119, 854.182, 119, 854.182
13, 2.82, 0.3, 0.76, 11.69, 9.13, 0.687, 0.7782957393483709, 119, 1108.247, 119, 1108.247
16, 3.1, 0.4, 0.76, 20.26, 11.66, 0.744, 0.8474185463659147, 159, 1471.704, 166, 1536.496
19, 3.29, 0.57, 0.76, 25.07, 14.18, 0.446, 0.8494235588972431, 139, 1328.006, 146, 1394.884
22, 3.69, 0.67, 0.76, 27.05, 16.71, 0.288, 0.8500751879699248, 159, 1544.208, 166, 1612.192
25, 3.96, 0.88, 0.76, 28.39, 19.23, 0.257, 0.849172932330827, 159, 1549.137, 166, 1617.338
28, 39.73, 1.65, 0.76, 3.81, 21.75, -1.129, 0.8495238095238096, 159, 1769.511, 166, 1847.414
31, 25.68, 1.8, 0.76, 29.59, 24.28, 0.169, 0.8497243107769423, 179, 1759.749, 186, 1828.566
34, 13.19, 1.89, 0.76, 48.24, 26.8, 0.051, 0.8497243107769423, 179, 1780.871, 186, 1850.514
